number,value,datetime_start,datetime_complete,duration,params_balance_strategy,params_batch_size,params_classifier_dropout,params_classifier_hidden,params_classifier_layers,params_cnn_base_channels,params_cnn_layers,params_discriminator_hidden,params_discriminator_layers,params_domain_loss_weight,params_domain_weight_schedule,params_focal_gamma,params_gamma_grl,params_learning_rate,params_lr_scheduler,params_lstm_bidirectional,params_lstm_dropout,params_lstm_hidden,params_lstm_layers,params_warmup_epochs,params_weight_decay,state
28,0.1888654516117203,2026-01-07 20:20:48.614173,2026-01-07 20:22:41.560030,0 days 00:01:52.945857,focal_only,64,0.31072713031222743,64,2,48,1,32,3,0.2511474423866881,exponential,2.8489094793880514,3.757101491697412,0.00023683909616962868,cosine,True,0.4116811514869041,256,3,32,3.918156153775667e-06,PRUNED
29,0.522958084271517,2026-01-07 20:22:41.560736,2026-01-07 20:24:47.311054,0 days 00:02:05.750318,focal_only,32,0.25015444204506104,64,2,48,2,64,2,0.32178186429851896,linear,2.1715223653009628,3.1102274831331744,0.00045324885168746866,cosine,True,0.32743377297080184,96,3,34,1.0387451709970843e-06,COMPLETE
30,0.5507750192526312,2026-01-07 20:24:47.311850,2026-01-07 20:27:47.680552,0 days 00:03:00.368702,focal_only,16,0.20564700545815365,96,2,48,1,64,2,0.13978178051901763,exponential,3.032011587933609,3.734407858871878,0.0010882920869008967,cosine,True,0.3715455790881694,128,2,37,2.404154103154736e-06,COMPLETE
31,0.5743025413473175,2026-01-07 20:27:47.681292,2026-01-07 20:33:35.023597,0 days 00:05:47.342305,weighted_sampling,16,0.37711946721645406,64,2,48,4,96,3,0.250353016177434,exponential,2.325523074400389,1.1462496329827152,0.0006441881732189195,onecycle,True,0.46413137560107637,96,2,22,1.0973416882448055e-05,COMPLETE
32,0.5835932377424914,2026-01-07 20:33:35.028484,2026-01-07 20:39:20.476423,0 days 00:05:45.447939,focal_only,16,0.3813605332469828,64,2,48,4,96,3,0.24276773780619723,exponential,2.51233858612689,1.3540905664697864,0.0006394357513463866,onecycle,True,0.46613361256443075,96,2,23,7.73245216409457e-06,COMPLETE
33,0.538145586563497,2026-01-07 20:39:20.479683,2026-01-07 20:45:05.324421,0 days 00:05:44.844738,focal_only,16,0.37291153256635684,64,2,48,4,96,3,0.2571137811182628,exponential,2.5306864984424244,1.2408541545449847,0.0006556694899925835,onecycle,True,0.44914571786504515,96,2,22,7.48780481293079e-06,COMPLETE
34,0.5896691481169093,2026-01-07 20:45:05.325251,2026-01-07 20:50:51.642177,0 days 00:05:46.316926,focal_only,16,0.37430057590461624,64,2,48,4,96,3,0.21979513129719874,exponential,2.315271785229451,1.400073736657478,0.0007511196743713289,onecycle,True,0.47057242865306875,96,2,22,5.192930451765637e-06,COMPLETE
35,0.5678087205251384,2026-01-07 20:50:51.642936,2026-01-07 20:56:01.239466,0 days 00:05:09.596530,focal_only,16,0.4981512580699419,64,2,48,4,96,3,0.21167781550935827,exponential,2.7371861951446217,1.4025603070601729,0.0008491743964557188,onecycle,False,0.4928135867953181,96,2,24,4.9393432553725575e-06,COMPLETE
36,0.5082436466317063,2026-01-07 20:56:01.240630,2026-01-07 21:01:52.980817,0 days 00:05:51.740187,focal_only,16,0.4392826158331146,64,2,48,4,32,3,0.22716628113550263,exponential,2.5061398421021406,1.6830354203025992,0.0003241789349088822,onecycle,True,0.4239203449984963,64,3,28,4.147890441961235e-06,COMPLETE
37,0.5570851883090688,2026-01-07 21:01:52.984903,2026-01-07 21:03:24.285461,0 days 00:01:31.300558,focal_only,64,0.2867710155134148,64,2,48,4,96,3,0.15555887602628904,exponential,2.5965730902740045,2.339940354493982,0.0005715493489454902,onecycle,False,0.47242096467254,96,2,25,2.9602221951830713e-05,COMPLETE
38,0.5601851186328798,2026-01-07 21:03:24.286229,2026-01-07 21:08:19.985136,0 days 00:04:55.698907,focal_only,16,0.3547295748910823,128,2,48,3,32,3,0.3186291069136311,exponential,2.243886290985812,1.7610247579182694,0.0010753247259222773,warmup_cosine,True,0.2714171364725324,64,2,22,1.9373908312606563e-06,COMPLETE
39,0.5461870989035168,2026-01-07 21:08:19.985991,2026-01-07 21:11:19.126518,0 days 00:02:59.140527,focal_only,32,0.327878959522687,64,2,48,4,96,3,0.18895085000916723,linear,2.049629176425984,1.3328659616985787,0.00041268855266562315,onecycle,False,0.38243462958802704,256,2,27,7.174408976316996e-06,COMPLETE
40,0.5249833877296564,2026-01-07 21:11:19.128125,2026-01-07 21:16:44.718326,0 days 00:05:25.590201,class_weights,16,0.3942603407356675,64,2,64,3,96,3,0.13140195441521704,exponential,3.018826747285034,2.733133055054153,0.0005335718856075593,onecycle,True,0.438891445949674,192,2,21,1.6777842110571964e-05,COMPLETE
41,0.22942667497891378,2026-01-07 21:16:44.720893,2026-01-07 21:20:08.541761,0 days 00:03:23.820868,weighted_sampling,16,0.37123785882759575,64,2,48,4,96,3,0.27063024823869564,exponential,2.31307417356196,1.214798771824504,0.000775727055200153,onecycle,True,0.47105048091520263,96,2,22,9.5278953946842e-06,PRUNED
42,0.5473168799735963,2026-01-07 21:20:08.542508,2026-01-07 21:25:50.563104,0 days 00:05:42.020596,focal_only,16,0.43104117924725033,64,2,48,4,96,3,0.22948618810176521,exponential,2.441916759277927,1.1681915770899538,0.0007039597186199079,onecycle,True,0.4692153331814636,96,2,24,1.3215920582708147e-05,COMPLETE
43,0.34021680296307166,2026-01-07 21:25:50.566382,2026-01-07 21:29:12.258436,0 days 00:03:21.692054,weighted_sampling,16,0.38475178801513726,64,2,48,4,96,3,0.2784343951624196,exponential,2.3332994825801983,1.3502099645609915,0.0005892068400604402,warmup_cosine,True,0.4661669863472552,96,2,21,5.385788588833724e-06,PRUNED
44,0.529686163775716,2026-01-07 21:29:12.261098,2026-01-07 21:30:44.350310,0 days 00:01:32.089212,focal_only,64,0.3531846851814993,64,2,48,4,96,3,0.23879195536927117,exponential,2.5973434736284755,1.559722881624908,0.00046585160331719236,onecycle,True,0.4974843468232759,96,2,23,3.024677863394554e-05,COMPLETE
45,0.26474780886721183,2026-01-07 21:30:44.353351,2026-01-07 21:32:34.048438,0 days 00:01:49.695087,class_weights,16,0.3163587455066214,128,2,48,3,64,3,0.29840216374603984,exponential,2.124115720107479,3.240594385251258,0.0011763985938356002,onecycle,False,0.41308402119498866,128,2,31,1.0015698438675962e-05,PRUNED
46,0.2846426344933808,2026-01-07 21:32:34.050624,2026-01-07 21:35:04.221827,0 days 00:02:30.171203,weighted_sampling,16,0.2861378563098758,64,2,48,4,96,3,0.19990338432232546,exponential,2.8281236710812334,1.788163518710042,0.000958976923513377,onecycle,True,0.27556379753703086,96,2,25,2.1493049799294946e-05,PRUNED
47,0.5492688400748102,2026-01-07 21:35:04.222509,2026-01-07 21:40:00.156571,0 days 00:04:55.934062,focal_only,16,0.4519271331957567,64,2,64,3,32,3,0.1759467325056093,linear,2.4440008635017625,2.0665927068269707,0.0002928030159299897,warmup_cosine,True,0.47969602201674044,64,2,21,5.435653646542773e-05,COMPLETE
48,0.519440243499945,2026-01-07 21:40:00.157429,2026-01-07 21:46:09.021109,0 days 00:06:08.863680,focal_only,16,0.41854772280829133,64,2,48,4,96,3,0.2649876521705621,exponential,2.7344690451495346,1.1033353677876814,0.0007616243264538282,onecycle,True,0.4564242645284561,96,3,23,4.9827734075381765e-06,COMPLETE
49,0.5110729399684624,2026-01-07 21:46:09.022009,2026-01-07 21:47:20.847176,0 days 00:01:11.825167,weighted_sampling,64,0.4867089889745523,128,2,48,4,96,3,0.298895805870436,exponential,1.9538966687893464,1.610590360405968,0.0014007380299219307,onecycle,False,0.3373576868191265,96,2,20,1.0027540458835767e-05,COMPLETE
50,0.15348461623088488,2026-01-07 21:47:20.847986,2026-01-07 21:48:10.186308,0 days 00:00:49.338322,focal_only,32,0.5291926356928853,64,2,48,2,96,3,0.22710996560094737,exponential,1.6197706985831073,1.4265878046175569,0.00023480634077601431,cosine,True,0.43976575427743225,192,2,25,1.4894925808709855e-05,PRUNED
51,0.16259620814844694,2026-01-07 21:48:10.186931,2026-01-07 21:49:11.665803,0 days 00:01:01.478872,focal_only,16,0.5046541713482341,64,2,48,4,96,3,0.21427368412805883,exponential,2.6525679536640108,1.3581498161014058,0.0008891206098970779,onecycle,False,0.4923524399159868,96,2,24,4.182890246450982e-06,PRUNED
