number,value,datetime_start,datetime_complete,duration,params_balance_strategy,params_batch_size,params_classifier_dropout,params_classifier_hidden,params_classifier_layers,params_cnn_base_channels,params_cnn_layers,params_discriminator_hidden,params_discriminator_layers,params_domain_loss_weight,params_domain_weight_schedule,params_focal_gamma,params_gamma_grl,params_learning_rate,params_lr_scheduler,params_lstm_bidirectional,params_lstm_dropout,params_lstm_hidden,params_lstm_layers,params_use_attention,params_use_residual,params_warmup_epochs,params_weight_decay,state
33,-0.4871794871794872,2026-01-07 13:19:05.746087,2026-01-07 13:19:57.842203,0 days 00:00:52.096116,focal_only,64,0.5645011079068886,96,3,64,1,32,2,0.18031025325187194,constant,2.4908100722164463,5.6502152919836375,0.0005594726110448112,cosine,False,0.277777051132081,256,3,True,False,9,2.021052088211656e-06,COMPLETE
34,-0.5982905982905983,2026-01-07 13:19:57.843240,2026-01-07 13:20:38.294399,0 days 00:00:40.451159,weighted_sampling,64,0.51105928933843,96,3,64,2,32,2,0.2819328297856586,constant,2.762262601499575,6.1073435954833455,0.0012940245698707705,cosine,False,0.2060776040138616,256,3,True,True,11,6.677081413079005e-06,COMPLETE
35,-0.5470085470085471,2026-01-07 13:20:38.295155,2026-01-07 13:20:48.282092,0 days 00:00:09.986937,focal_only,64,0.378658713932531,128,3,32,2,32,2,0.08535992230854193,constant,2.299390574667997,4.81174687686501,0.0009874631044611412,step,False,0.11042334387794525,128,2,True,False,8,9.970883944816555e-06,COMPLETE
36,-0.6068376068376069,2026-01-07 13:20:48.283334,2026-01-07 13:21:47.589215,0 days 00:00:59.305881,weighted_sampling,16,0.3065171630545946,64,3,64,2,64,3,0.13862928661322715,linear,2.5681276860738516,5.1123438766200575,0.0006172315690844375,step,False,0.23302967114433462,256,1,True,False,10,1.3271322826600745e-06,COMPLETE
37,-0.9401709401709402,2026-01-07 13:21:47.590071,2026-01-07 13:22:06.964132,0 days 00:00:19.374061,focal_only,64,0.4634406934742191,96,3,48,1,32,2,0.19986152453340844,linear,2.846813190943159,6.0333357363313,0.0015386731594428668,onecycle,False,0.17482090851160464,256,3,True,True,9,4.702675149650487e-06,PRUNED
38,-0.5470085470085471,2026-01-07 13:22:06.964862,2026-01-07 13:22:18.042803,0 days 00:00:11.077941,weighted_sampling,64,0.32062011545674707,128,3,64,2,64,3,0.43938516351016865,constant,2.6707194556114535,4.672584218134254,0.0002916050864474179,cosine,False,0.2528585392643778,64,2,True,False,12,2.438573175617553e-06,COMPLETE
39,-0.5470085470085471,2026-01-07 13:22:18.043788,2026-01-07 13:22:31.005202,0 days 00:00:12.961414,weighted_sampling,64,0.4383946799658764,96,2,48,1,32,2,0.21297108092815809,exponential,3.229837881125116,6.410352780349244,0.0007704834060477619,warmup_cosine,False,0.2951634732464819,96,1,True,True,10,1.3822364403107992e-06,COMPLETE
40,-0.641025641025641,2026-01-07 13:22:31.005964,2026-01-07 13:23:31.478119,0 days 00:01:00.472155,focal_only,16,0.4109138559295263,64,3,32,3,64,2,0.33593618452155066,linear,2.9708059960748128,5.508282519839715,0.000476107501969107,step,False,0.14204138717066397,256,3,True,False,6,2.589012843084614e-06,COMPLETE
41,-0.5470085470085471,2026-01-07 13:23:31.482115,2026-01-07 13:23:59.478221,0 days 00:00:27.996106,focal_only,64,0.5624638373612193,96,3,64,1,32,2,0.16896898763919363,constant,2.477503709542983,5.805474266131261,0.000608962963967681,cosine,False,0.2861586907593127,256,3,True,False,9,1.723401809020461e-06,COMPLETE
42,-0.5641025641025641,2026-01-07 13:23:59.479020,2026-01-07 13:24:27.319725,0 days 00:00:27.840705,focal_only,64,0.5771123737978074,96,3,64,1,32,2,0.14170886222409274,constant,2.1901037348905756,5.53887028079248,0.0005272220610830839,cosine,False,0.2773430671873481,256,3,True,False,9,2.1408063526955048e-06,COMPLETE
